,Neighbourhood,Community_Area,Longitude,Latitude
180,River North,Near North Side,-87.6344975,41.9000327
181,River West,West Town,-87.6861661,41.9014213
182,River's Edge,North Park,-87.7229343538787,41.98495475
183,Riverdale,Riverdale,-87.6049644,41.6678347
184,Rogers Park,Rogers Park,-87.6707481966481,42.01053135
185,Roscoe Village,North Center,-87.6791596,41.9561073
186,Rosehill,West Ridge,-87.6962426,42.0035482
187,Roseland,Roseland,-87.625881,41.7019787
188,Rosemoor,Roseland,-87.625881,41.7019787
189,Saint Ben's,North Center,-87.6791596,41.9561073
190,Sauganash,Forest Glen,-87.7516732983677,41.99175155
191,Schorsch Forest View,O'Hare,-87.9067678854723,41.97310105
192,Schorsch Village,Dunning,-87.7964493,41.952809
193,Scottsdale,Ashburn,-87.7111628,41.7475332
194,Sheffield Neighbors,Lincoln Park,-87.6381171054176,41.94029765
195,Sheridan Park,Uptown,-87.6555458,41.9666299
196,Sheridan Station Corridor,Lakeview,-87.6540759,41.9439185
197,Sleepy Hollow,Garfield Ridge,-87.7454943668633,41.803617
198,Smith Park,West Town,-87.6861661,41.9014213
199,South Austin,Austin,-87.7648508,41.8878759
200,South Chicago,South Chicago,-87.5513222,41.7345874
201,South Commons,Douglas,-87.6179536,41.8348565
202,South Deering,South Deering,-88.1867785,41.8969918
203,South East Ravenswood,Lake View,-87.6554287829005,41.94705
204,South Edgebrook,Forest Glen,-87.7516732983677,41.99175155
205,South Lawndale,South Lawndale,-87.7125544,41.8436437
206,South Loop,The Loop,-87.6244212,41.8755616
207,South Shore,South Shore,-87.5700927782457,41.76265045
208,Stateway Gardens,Douglas,-87.6179536,41.8348565
209,Stony Island Park,Avalon Park,-87.5886584,41.7450346
210,Streeterville,Near North Side,-87.6344975,41.9000327
211,Talley's Corner,Mount Greenwood,-87.7086616,41.6980891
212,Tri-Taylor,Near West Side,-87.6667624,41.8800656
213,Ukrainian Village,West Town,-87.6861661,41.9014213
214,Union Ridge,Norwood Park,-87.8005772013227,41.9855895
215,University Village,Near West Side,-87.6667624,41.8800656
216,Uptown,Uptown,-87.6555458,41.9666299
217,The Villa,Irving Park,-87.7364471,41.953365
218,Vittum Park,Garfield Ridge,-87.7454943668633,41.803617
219,Wacławowo,Avondale,-87.711168,41.9389208
220,Washington Heights,Washington Heights,-87.65616,41.7064229
221,Washington Park,Washington Park,-87.6181052,41.7925338
222,Wentworth Gardens,Armour Square,-87.633107,41.8400333
223,West Beverly,Beverly,-87.6717674,41.7181532
224,West Chatham,Chatham,-87.6125481,41.7411454
225,West Chesterfield,Roseland,-87.625881,41.7019787
226,West DePaul,Lincoln Park,-87.6381171054176,41.94029765
227,West Elsdon,West Elsdon,-87.7244978,41.7939217
228,West Englewood,West Englewood,-87.6667177,41.7780891
229,West Garfield Park,West Garfield Park,-87.7292227,41.8805878
230,West Humboldt Park,Humboldt Park,-87.7041737,41.9057668
231,West Lakeview,Lake View,-87.6554287829005,41.94705
232,West Lawn,West Lawn,-87.722275,41.7728107
233,West Loop,Near West Side,-87.6667624,41.8800656
234,West Morgan Park,Morgan Park,-87.6667156,41.6903117
235,West Pullman,West Pullman,-87.637823,41.6750456
236,West Ridge,West Ridge,-87.6962426,42.0035482
237,West Rogers Park,West Ridge,-87.6962426,42.0035482
238,West Town,West Town,-87.6861661,41.9014213
239,West Woodlawn,Woodlawn,-87.599493,41.7794786
240,Wicker Park,West Town,-87.6861661,41.9014213
241,Wildwood,Forest Glen,-87.7516732983677,41.99175155
242,Woodlawn,Woodlawn,-87.599493,41.7794786
243,Wrightwood,Ashburn,-87.7111628,41.7475332
244,Wrightwood Neighbors,Lincoln Park,-87.6381171054176,41.94029765
245,Wrigleyville,Lake View,-87.6554287829005,41.94705
